PlotNumber,SiteUnit
962952,IDF xm   /Ga02.3
962953,IDF xm   /Ga01
963077,IDF dk 3 /Ga07
964129,IDF xm   /Ga01
967879,IDF xm   /Ga06
967880,IDF xm   /Ga02.2
9801831,IDF xm   /Ga02.2
9901787,IDF xk   /Ga01.2
9901791,IDF dm 2 /Ga01.2
AR94003,IDF dk 4 /Ga01
AR94004,IDF dk 4 /Ga02.2
AR94011,IDF dk 4 /Ga03
CB68048,IDF xm   /Ga01.2
CB68049,IDF xm   /Ga01.2
CB68052,IDF xm   /Ga01.2
CB68053,IDF xm   /Ga01.2
CB68080,IDF xm   /Ga01.2
CB68081,IDF xm   /Ga01.2
CB68121,IDF xm   /Ga02.2
CB68122,IDF xm   /Ga02.2
CB68123,IDF xm   /Ga02.2
CB68124,IDF dk 4 /Ga02.2
CB68125,IDF dk 4 /Ga02.2
K00-054,PP  xh 2 /Ga01
K00-055,PP  xh 2 /Ga03
K00-208,IDF xh 2 /Ga05
K06-001,BG  xh 2 /Ga05
K07-010,BG  xh 1 /Ga01
K07-017,BG  xh 1 /Ga05
K07-018,PP  xh 1 /Ga05
K07-020,PP  xh 1 /Ga01
K07-023,PP  xh 1 /Ga05
K07-025,PP  xh 1 /Ga02.1
K08-026,PP  xh 1 /Ga01
K08-047,IDF xh 1 /Ga02.2
K08-053,PP  xh 2 /Ga06
K08-054,PP  xh 2 /Ga02.1
K08-055,PP  xh 2 /Ga02.2
K08-056,IDF dk 1 /Ga02.2
K08-061,IDF dk 1 /Ga02.2
K08-062,IDF dk 1 /Ga02.1
K08-063,IDF dk 1 /Ga01
K08-065,PP  xh 2 /Ga01
K08-066,BG  xw 1 /Ga07
K08-068,BG  xw 1 /Ga02.1
K08-069,BG  xw 1 /Ga02.2
K08-072,BG  xw 1 /Ga07
K08-073,IDF xh 2 /Ga01
K08-074,IDF xh 2 /Ga02.1
K08-077,IDF xh 2 /Ga02.2
K08-080,BG  xw 1 /Ga07
K08-090,PP  xh 2 /Ga07
K08-092,PP  xh 2 /Ga01
K08-094,BG  xw 1 /Ga07
K08-095,BG  xw 1 /Ga02.2
K08-096,BG  xw 1 /Ga02.1
K08-100,IDF xh 2 /Ga02.2
K08-113,IDF xh 2 /Ga02.1
K08-114,IDF xh 2 /Ga02.2
K08-117,IDF xh 2 /Ga02.2
K11-034,IDF xh 1 /Ga02.1
K11-053,PP  xh 1 /Ga07
K11-054,PP  xh 1 /Ga02.1
K11-055,PP  xh 1 /Ga02.2
K11-056,PP  xh 1 /Ga01
K11-163,IDF xh 2 /Ga02.3
K11-165,IDF xh 2 /Ga01
K11-166,IDF xh 2 /Ga02.1
K11-167,IDF xh 2 /Ga06
K13-123,IDF xh 2 /Ga02.1
K99-122,BG  xw 1 /Ga05
LV05-95,IDF dm 2 /Ga01.2
N06-129,IDF xx 2 /Ga06
N06-145,IDF xx 2 /Ga02.2
P791188,IDF dm 2 /Ga01
R229682,BG  xh 2 /Ga05
R339880,IDF dk 3 /Ga02.1
R340080,IDF dk 3 /Ga01
R343380,IDF dk 3 /Ga02.2
R343480,IDF dk 3 /Ga02.2
R343580,IDF dk 3 /Ga02.1
R343680,IDF dk 3 /Ga02.2
R344380,IDF dk 3 /Ga01
R344780,IDF dk 3 /Ga02.1
R345080,IDF dk 3 /Ga02.3
R345280,IDF dk 3 /Ga02.1
R345480,IDF dk 3 /Ga01
SA13-95,IDF dm 2 /Ga02
V791156,IDF xx 2 /Ga01
WE08-99,IDF xk   /Ga01
14KI-01,PP  xh 1 /Ga01.1
14KI-06,PP  xh 1 /Ga01.1
14KI-07,PP  xh 1 /Ga01.1
97004,MS  xk 2 /Gb21
97406,ESSFxv 2 /Gb21
?801826,IDF dm 2 /Gb02
0003051,SBS dk   /Gb53
0003053,SBS dk   /Gb53
0003058,ICH mc 2 /Gb53
0003060,SBS dk   /Gb53
0003067,ICH mc 2 /Gb53
0003068,SBS dk   /Gb53
0003072,SBS mc 2 /Gb53
0109150,ICH xw   /Gb03
0109151,ICH xw   /Gb02
0109165,IDF dh   /Gb04
0109197,IDF dh   /Gb04
0109198,IDF dh   /Gb04
0111662,ICH xw   /Gb03
0111666,ICH dw 1 /Gb03
0111668,ICH xw   /Gb03
0111669,ICH dw 1 /Gb03
0116722,ICH mc 2 /Gb53
0116762,ICH mc 2 /Gb53
02-0143,IDF xx 1 /Gb04
0300963,IDF dk 5 /Gb01
03-D7a,ICH xw  a /Gb06
1040-2,ICH xw   /Gb03
117178,SBS dk   /Gb53
118178,SBS dk   /Gb53
118278,SBS dk   /Gb53
123478,SBS dk   /Gb53
123578,SBS dk   /Gb53
130778,SBS dk   /Gb53
14-7608,ICH xw  a /Gb06
14-7611,ICH xw  a /Gb06
14-7612,ICH xw  a /Gb06
14-7622,ESSFdk 1 /Gb20
14-7623,ESSFdk 1 /Gb20
160078,SBS mc 2 /Gb53
9116,BG  xh 1 /Gb05
9142,IDF xh 1 /Gb02
9523295,ICH dw 1 /Gb03
9523299,ICH dw 1 /Gb03
9523304,ICH xw   /Gb03
9523305,ICH xw   /Gb03
9611760,SBS dk   /Gb53
9611916,SBS dk   /Gb53
9611919,SBS mc 2 /Gb53
9611924,SBS mc 2 /Gb53
9611926,SBS dk   /Gb53
9611970,SBS dk   /Gb53
9611971,ICH mc 2 /Gb53
961237,SBS mc 2 /Gb53
964105,ICH xw  a /Gb06
964282,ICH xw  a /Gb06
964283,ICH xw  a /Gb03
965158,IDF dk 3 /Gb01
967643,ICH mw 3 /Gb02
97SH002,ICH mc 2 /Gb53
98-043,ESSFxv 2 /Gb21
98-074,MS  dc 3 /Gb21
98-077,MS  dc 3 /Gb01
98-088,MS  dc 3 /Gb02
98-264,ESSFxc 3 /Gb21
98-309,MS  xk 3 /Gb21
98-962,ESSFxv 2 /Gb21
9901773,IDF xx 1 /Gb05
9901800,IDF xx 1 /Gb05
99NB020,IDF dk 1 /Gb02
b4785,MS  dw   /Gb01
BR35,ESSFdk 1 /Gb20
F15036,ESSFdk 2 /Gb20
K001103,ESSFdv 2 /Gb21
K00-582,MS  xk 2 /Gb21
K01-109,PP  xh 1 /Gb02
K01-123,PP  xh 1 /Gb05
K01-332,MS  dm 2 /Gb21
K01-382,ESSFxc 3 /Gb21
K08-001,IDF dc   /Gb02
K08-002,IDF dc   /Gb01
K08-003,IDF dc   /Gb01
K99-709,ESSFxc 1 /Gb21
LPmd13,MS  dc 3 /Gb01
LPmd14,MS  dc 2 /Gb01
MG10,ESSFdk 1 /Gb20
N05-036,ICH mk 5 /Gb20
N06-346,ESSFwm 1 /Gb20
N06-426,ESSFdk 2 /Gb20
N08621a,ICH xw   /Gb03
N08622a,ICH xw   /Gb03
N08626a,ICH dw 1 /Gb03
N08627a,ICH dw 1 /Gb03
N08630a,ICH xw   /Gb03
N08632a,ICH dw 1 /Gb03
SF110,ESSFdk 2 /Gb20
Teck065,ESSFdkw  /Gb20
Teck238,ESSFdk 1 /Gb20
Teck558,ESSFdk 1 /Gb20
Teck611,ESSFdkw  /Gb20
X770006,MS  dm 1 /Gb21
97006,MS  xk 2 /Gg12.1
97418,IDF dk 1 /Gg02
831320,BG  xh 2 /Gg03
9650004,IDF dm 1 /Gg02
%801769,MS  dw   /Gg14
?791101,IDF xx 2 /Gg01
?791119,IDF dm 2 /Gg02
0109103,IDF dm 1 /Gg11
0109118,IDF dh   /Gg11
0109200,ICH xw   /Gg11
0110740,ICH xm 1 /Gg02
0110742,ICH xm 1 /Gg02
0110744,ICH xm 1 /Gg02
0112908,ESSFdkp  /Gg14
0112913,ESSFdkp  /Gg14
0114513,ESSFwm 3 /Gg14
02-0146,IDF dh   /Gg26
02-0148,IDF dm 1 /Gg02
02-0149,IDF dm 1 /Gg13
02-0151,IDF dk 5 /Gg12.2
02-0152,IDF xk   /Gg01
02-0153,IDF dk 5 /Gg12.2
02-2589,ESSFwmp  /Gg16
06RC-01,IDF xk   /Gg01
12-0081,IDF xx 2 /Gg15a
